Mod:Item:MetaData, Localized Name
ImmersiveEngineering:storageSlab:5, Constantan Slab
ImmersiveEngineering:storageSlab:6, Electrum Slab
ImmersiveEngineering:storageSlab:7, Steel Slab
ImmersiveEngineering:metalDevice:0, LV Wire Connector
ImmersiveEngineering:metalDevice:1, LV Capacitor
ImmersiveEngineering:metalDevice:1, LV Capacitor
ImmersiveEngineering:metalDevice:2, MV Wire Connector
ImmersiveEngineering:metalDevice:3, MV Capacitor
ImmersiveEngineering:metalDevice:3, MV Capacitor
ImmersiveEngineering:metalDevice:4, Transformer
ImmersiveEngineering:metalDevice:5, HV Wire Relay
ImmersiveEngineering:metalDevice:6, HV Wire Connector
ImmersiveEngineering:metalDevice:7, HV Capacitor
ImmersiveEngineering:metalDevice:7, HV Capacitor
ImmersiveEngineering:metalDevice:8, HV Transformer
ImmersiveEngineering:metalDevice:9, Kinetic Dynamo
ImmersiveEngineering:metalDevice:10, Thermoelectric Generator
ImmersiveEngineering:metalDevice:11, Conveyor Belt
ImmersiveEngineering:metalDevice:12, External Heater
ImmersiveEngineering:metalDevice:13, Item Router
ImmersiveEngineering:metalDevice:14, Core Sample Drill
ImmersiveEngineering:metalDevice:15, Dropping Conveyor Belt
ImmersiveEngineering:metalDevice2:0, Breaker Switch
ImmersiveEngineering:metalDevice2:2, Current Transformer
ImmersiveEngineering:metalDevice2:3, Powered Lantern
ImmersiveEngineering:metalDevice2:4, Floodlight
ImmersiveEngineering:metalDevice2:5, Fluid Pipe
ImmersiveEngineering:metalDevice2:6, Fluid Pump
ImmersiveEngineering:metalDevice2:7, Metal Barrel
ImmersiveEngineering:metalDevice2:8, Creative Capacitor
ImmersiveEngineering:metalDevice2:9, Redstone Breaker
ImmersiveEngineering:metalDevice2:10, Charging Station
ImmersiveEngineering:metalDevice2:11, Blast Furnace Preheater
ImmersiveEngineering:metalDecoration:0, Steel Fence
ImmersiveEngineering:metalDecoration:1, Steel Scaffolding
ImmersiveEngineering:metalDecoration:2, Lantern
ImmersiveEngineering:metalDecoration:3, Structural Arm
ImmersiveEngineering:metalDecoration:4, Radiator Block
ImmersiveEngineering:metalDecoration:5, Heavy Engineering Block
ImmersiveEngineering:metalDecoration:6, Generator Block
ImmersiveEngineering:metalDecoration:7, Light Engineering Block
ImmersiveEngineering:metalDecoration:8, Structural Cable Connector
ImmersiveEngineering:metalDecoration:9, Steel Wall Mount
ImmersiveEngineering:metalDecoration:10, Sheet Metal Block
ImmersiveEngineering:metalDecoration:11, Steel Scaffolding
ImmersiveEngineering:metalDecoration:12, Aluminium Fence
ImmersiveEngineering:metalDecoration:13, Aluminium Scaffolding
ImmersiveEngineering:metalDecoration:14, Aluminium Scaffolding
ImmersiveEngineering:metalDecoration:15, Aluminium Structural Arm
ImmersiveEngineering:metalDecoration2:0, Aluminium Sheet Metal Block
ImmersiveEngineering:metalDecoration2:1, Lead Sheet Metal Block
ImmersiveEngineering:metalDecoration2:2, Steel Sheet Metal Block
ImmersiveEngineering:metalMultiblock:0, Lightning Rod Base
ImmersiveEngineering:metalMultiblock:2, Industrial Squeezer
ImmersiveEngineering:metalMultiblock:3, Fermenter
ImmersiveEngineering:woodenDevice:0, Wooden Post
ImmersiveEngineering:woodenDevice:1, Water Wheel
ImmersiveEngineering:woodenDevice:2, Windmill
ImmersiveEngineering:woodenDevice:3, Improved Windmill
ImmersiveEngineering:woodenDevice:4, Wooden Storage Crate
ImmersiveEngineering:woodenDevice:5, Engineer's Workbench
ImmersiveEngineering:woodenDevice:6, Wooden Barrel
ImmersiveEngineering:woodenDecoration:1, Treated Wood Fence
ImmersiveEngineering:woodenDecoration:2, Treated Wood Slab
ImmersiveEngineering:woodenDecoration:4, Treated Wood Doubleslab
ImmersiveEngineering:woodenDecoration:5, Treated Wood Scaffolding
ImmersiveEngineering:woodenDecoration:6, Wooden Wall Mount
ImmersiveEngineering:treatedWood:0, Treated Wood Planks
ImmersiveEngineering:treatedWood:1, Treated Wood Planks
ImmersiveEngineering:treatedWood:2, Treated Wood Planks
ImmersiveEngineering:woodenStairs, Treated Wood Stairs
ImmersiveEngineering:woodenStairs1, Treated Wood Stairs
ImmersiveEngineering:woodenStairs2, Treated Wood Stairs
ImmersiveEngineering:stoneDevice:4, Insulating Glass
ImmersiveEngineering:stoneDecoration:0, Hempcrete
ImmersiveEngineering:stoneDecoration:1, Coke Brick
ImmersiveEngineering:stoneDecoration:2, Blast Brick
ImmersiveEngineering:stoneDecoration:3, Block of Coal Coke
ImmersiveEngineering:stoneDecoration:4, Concrete
ImmersiveEngineering:stoneDecoration:5, Concrete Tile
ImmersiveEngineering:stoneDecoration:6, Reinforced Blast Brick
ImmersiveEngineering:concreteStairs, Concrete Stairs
ImmersiveEngineering:concreteTileStairs, Concrete Tile Stairs
ImmersiveEngineering:hemp, Industrial Hemp
ImmersiveEngineering:fakeLight, tile.ImmersiveEngineering.fakeLight.name
ImmersiveEngineering:clothDevice, tile.ImmersiveEngineering.clothDevice.name
IronChest:BlockIronChest:0, Iron Chest
IronChest:BlockIronChest:1, Gold Chest
IronChest:BlockIronChest:2, Diamond Chest
IronChest:BlockIronChest:3, Copper Chest
IronChest:BlockIronChest:4, Silver Chest
IronChest:BlockIronChest:5, Crystal Chest
IronChest:BlockIronChest:6, Obsidian Chest
IronChest:BlockIronChest:7, DirtChest 9000!
JABBA:barrel, Better Barrel
Magneticraft:tile.limestoneSlab:0, Limestone Slab
Magneticraft:tile.limestoneSlabFull:0, Limestone Slab
Magneticraft:tile.burnt_limestoneSlab:0, Burnt Limestone Slab
Magneticraft:tile.burnt_limestoneSlabFull:0, Burnt Limestone Slab
Magneticraft:tile.brick_limestoneSlab:0, Limestone Brick Slab
Magneticraft:tile.brick_limestoneSlabFull:0, Limestone Brick Slab
Magneticraft:tile.roofTileSlab:0, Clay Roof Tile Slab
Magneticraft:tile.roofTileSlabFull:0, Clay Roof Tile Slab
Magneticraft:tile.tile_limestoneSlab:0, Limestone Tile Slab
Magneticraft:tile.tile_limestoneSlabFull:0, Limestone Tile Slab
Magneticraft:tile.burnt_brick_limestoneSlab:0, Burnt Limestone Brick Slab
Magneticraft:tile.burnt_brick_limestoneSlabFull:0, Burnt Limestone Brick Slab
Magneticraft:tile.cobble_limestoneSlab:0, Limestone Cobble Slab
Magneticraft:tile.cobble_limestoneSlabFull:0, Limestone Cobble Slab
Magneticraft:tile.burnt_cobble_limestoneSlab:0, Burnt Limestone Cobble Slab
Magneticraft:tile.burnt_cobble_limestoneSlabFull:0, Burnt Limestone Cobble Slab
Magneticraft:pumpjack_1, Pumpjack
Magneticraft:ShelvingUnit, Shelving Unit
Magneticraft:oil_source, Oil Source
Magneticraft:oil_source_drained, Drained Oil Source
Magneticraft:copper_ore, Copper Ore
Magneticraft:salt_ore, Salt Ore
Magneticraft:sulfur_ore, Sulfur Ore
Magneticraft:thorium_ore, Thorium Ore
Magneticraft:tungsten_ore, Tungsten Ore
Magneticraft:uranium_ore, Uranium Ore
Magneticraft:limestone, Limestone
Magneticraft:tile.limestoneStairs, Limestone Stairs
Magneticraft:burnt_limestone, Burnt Limestone
Magneticraft:tile.burnt_limestoneStairs, Burnt Limestone Stairs
Magneticraft:brick_limestone, Limestone Bricks
Magneticraft:tile.brick_limestoneStairs, Limestone Brick Stairs
Magneticraft:roofTile, Clay Roof Tiles
Magneticraft:tile.roofTileStairs, Clay Roof Tile Stairs
Magneticraft:tile_limestone, Limestone Tiles
Magneticraft:tile.tile_limestoneStairs, Limestone Tile Stairs
Magneticraft:burnt_brick_limestone, Burnt Limestone Bricks
Magneticraft:tile.burnt_brick_limestoneStairs, Burnt Limestone Brick Stairs
Magneticraft:cobble_limestone, Limestone Cobble
Magneticraft:tile.cobble_limestoneStairs, Limestone Cobble Stairs
Magneticraft:burnt_cobble_limestone, Burnt Limestone Cobble
Magneticraft:tile.burnt_cobble_limestoneStairs, Burnt Limestone Cobble Stairs
Magneticraft:block_copper, Copper Block
Magneticraft:block_tungsten, Tungsten Block
Magneticraft:block_carbide, Carbide Block
Magneticraft:block_brass, Brass Block
Magneticraft:block_zinc, Zinc Block
Magneticraft:solarpanel, Solar Panel
Magneticraft:electricfurnace, Electric Furnace
Magneticraft:battery, Battery
Magneticraft:transformer_lm, Low/Medium Voltage Transformer
Magneticraft:transformer_mh, Medium/High Voltage Transformer
Magneticraft:firebox, Firebox
Magneticraft:boiler, Boiler
Magneticraft:cooler, Cooler
Magneticraft:heat_resistance, Heat Resistance
Magneticraft:fluid_hopper, Fluid Hopper
Magneticraft:basic_generator, Basic Generator
Magneticraft:steam_engine, Steam Engine
Magneticraft:crusher_control, Crusher Control
Magneticraft:chasis, Multiblock Chassis
Magneticraft:multi_io, Multiblock I/O
Magneticraft:conveyor_low, Conveyor Belt
Magneticraft:mirror, Mirror
Magneticraft:block_breaker, Block Breaker
Magneticraft:windturbine, Wind Turbine
Magneticraft:geothermal_pump, Geothermal Pump
Magneticraft:permanent_magnet, Permanent Magnet
Magneticraft:concreted_pipe, Concrete
Magneticraft:thermopile, Thermopile
Magneticraft:MB_EnergyIO, Multiblock Energy I/O (Low Voltage)
Magneticraft:inserter, Inserter
Magneticraft:machine_housing, Machine Housing
Magneticraft:grinder_control, Grinder Control
Magneticraft:miner, Miner
Magneticraft:teslacoil, Tesla Coil
Magneticraft:airlock, Airlock
Magneticraft:biomassburner, Biomass Burner
Magneticraft:stirling_generator, Stirling Generator Control
Magneticraft:InfiniteWater, Infinite Water
Magneticraft:refinery_control, Refinery Control
Magneticraft:refinery_gap, Multiblock Component
Magneticraft:refinery_tank, Refinery Tank
Magneticraft:mg_tank, Fluid Tank
Magneticraft:heater, Heater
Magneticraft:tile.air_bubble, Air Bubble
Magneticraft:solar_tower_core, Solar Tower Core
Magneticraft:polimerizer_control, Polymerizer Control
Magneticraft:MB_Energy_medium, Multiblock Energy I/O (Medium Voltage)
Magneticraft:turbine_control, Turbine Control
Magneticraft:combustion_engine, Combustion Engine
Magneticraft:heat_sink, Heat Sink
Magneticraft:brickFurnace, Brick Furnace
Magneticraft:crafter, Crafter
Magneticraft:multi_heat, Multiblock Heat I/O
Magneticraft:distillery_control, Oil Distillery Control
Magneticraft:ElectricPoleTier1, Electrical Wooden Pole
Magneticraft:mb_kinetic, Multiblock Kinetic I/O
Magneticraft:infinite_steam, Creative Infinite Steam
Magneticraft:void_inventory, Void Inventory
Magneticraft:electric_switch, Electric Switch
Magneticraft:diode, Diode
Magneticraft:resistance, Resistance
Magneticraft:rf_alternator, RF Alternator
Magneticraft:kinetic_generator, Kinetic Generator
Magneticraft:rc_alternator, RailCraft Charge Alternator
Magneticraft:eu_alternator, EU Alternator
Magneticraft:ElectricPoleCableConnection, Electrical Pole With Transformer
Magneticraft:infinite_energy, Creative Infinite Energy
Magneticraft:sifter_control, Sifter Control
Magneticraft:mb_controls, Multiblock Controls
Magneticraft:block_salt, Salt Block
Magneticraft:block_sulfur, Sulfur Block
Magneticraft:zinc_ore, Zinc Ore
Magneticraft:crushing_table, Crushing Table
Magneticraft:tar, Tar
Magneticraft:blocksteam, Steam
Magneticraft:blockoil, Crude Oil
Magneticraft:blockheavyoil, Heavy Oil
Magneticraft:blocklightoil, Light Oil
Magneticraft:blocknaturalgas, Natural Gas
Magneticraft:blockhotcrude, Hot Crude
malisisdoors:door_acacia, Acacia Door
malisisdoors:door_birch, Birch Door
malisisdoors:door_dark_oak, Dark Oak Door
malisisdoors:door_jungle, Jungle Door
malisisdoors:door_spruce, Spruce Door
malisisdoors:wood_sliding_door, Wooden Glass Door
malisisdoors:iron_sliding_door, Iron Glass Door
malisisdoors:jail_door, Jail Door
malisisdoors:laboratory_door, Laboratory Door
malisisdoors:factory_door, Factory Door
malisisdoors:shoji_door, Shoji Door
malisisdoors:curtain, Curtain
malisisdoors:saloon, Saloon Door
malisisdoors:iron_trapdoor, Iron Trapdoor
malisisdoors:sliding_trapdoor, Sliding Trapdoor
malisisdoors:player_sensor, Player Sensor
malisisdoors:vanishing_block:0, Wooden Vanishing Frame
malisisdoors:vanishing_block:1, Iron Vanishing Frame
malisisdoors:vanishing_block:2, Gold Vanishing Frame
malisisdoors:vanishing_block:3, Diamond Vanishing Frame
malisisdoors:vanishing_block_diamond, Diamond Vanishing Frame
malisisdoors:block_mixer, Block Mixer
malisisdoors:mixed_block, Mixed Block
malisisdoors:garage_door, Garage Door
malisisdoors:door_factory, Door Factory
malisisdoors:null, Unnamed Block, report to mod author.
malisisdoors:rustyHatch, Rusty Hatch
malisisdoors:rustyLadder, Rusty Ladder
malisisdoors:carriage_door, Carriage Door
malisisdoors:forcefieldDoor, Forcefield
MekanismGenerators:Generator:0, Heat Generator
MekanismGenerators:Generator:1, Solar Generator
MekanismGenerators:Generator:3, Gas-Burning Generator
MekanismGenerators:Generator:4, Bio-Generator
MekanismGenerators:Generator:5, Advanced Solar Generator
MekanismGenerators:Generator:6, Wind Turbine
MekanismGenerators:Reactor:0, Reactor Controller
MekanismGenerators:Reactor:1, Reactor Frame
MekanismGenerators:Reactor:3, Reactor Port
MekanismGenerators:Reactor:4, Reactor Logic Adapter
MekanismGenerators:ReactorGlass:0, Reactor Glass
MekanismGenerators:ReactorGlass:1, Laser Focus Matrix
TConstruct:liquid.slime, Liquified Slime
TConstruct:MeatBlock, Hambone
TConstruct:WoolSlab1:0, Light Gray Wool Slab
TConstruct:WoolSlab1:1, Cyan Wool Slab
TConstruct:WoolSlab1:2, Purple Wool Slab
TConstruct:WoolSlab1:3, Blue Wool Slab
TConstruct:WoolSlab1:4, Brown Wool Slab
TConstruct:WoolSlab1:5, Green Wool Slab
TConstruct:WoolSlab1:6, Red Wool Slab
TConstruct:WoolSlab1:7, Black Wool Slab
TConstruct:WoolSlab2:0, Gray Wool Slab
TConstruct:WoolSlab2:1, Gray Wool Slab
TConstruct:WoolSlab2:2, Gray Wool Slab
TConstruct:WoolSlab2:3, Gray Wool Slab
TConstruct:WoolSlab2:4, Gray Wool Slab
TConstruct:WoolSlab2:5, Gray Wool Slab
TConstruct:WoolSlab2:6, Gray Wool Slab
TConstruct:WoolSlab2:7, Gray Wool Slab
TConstruct:trap.punji, Punji Stick
TConstruct:trap.barricade.oak, Oak Barricade
TConstruct:trap.barricade.spruce, Spruce Barricade
TConstruct:trap.barricade.birch, Birch Barricade
TConstruct:trap.barricade.jungle, Jungle Barricade
TConstruct:explosive.slime:0, SDX
TConstruct:explosive.slime:2, SDX
TConstruct:slime.gel:0, Congealed Blue Slime
TConstruct:slime.gel:1, Congealed Green Slime
TConstruct:slime.gel:2, Congealed Purple Slime
TConstruct:slime.grass:0, Slimy Grass
TConstruct:slime.grass.tall:0, Slimy Grass
TConstruct:slime.leaves:0, Slimy Leaves
TConstruct:slime.sapling:0, Slimy Sapling
TConstruct:slime.channel, Slime Channel
TConstruct:blood.channel, Blood Channel
TConstruct:slime.pad, Bounce Pad
TConstruct:decoration.stonetorch, Torch
TConstruct:decoration.stoneladder, Ladder
TConstruct:decoration.multibrick:0, Obsidian Brick
TConstruct:decoration.multibrick:1, Sandstone Brick
TConstruct:decoration.multibrick:2, Netherrack Brick
TConstruct:decoration.multibrick:3, Polished Stone Brick
TConstruct:decoration.multibrick:4, Iron Brick
TConstruct:decoration.multibrick:5, Gold Brick
TConstruct:decoration.multibrick:6, Lapis Brick
TConstruct:decoration.multibrick:7, Diamond Brick
TConstruct:decoration.multibrick:8, Redstone Brick
TConstruct:decoration.multibrick:9, Bone Brick
TConstruct:decoration.multibrick:10, Slime Brick
TConstruct:decoration.multibrick:11, Slime Brick
TConstruct:decoration.multibrick:12, Endstone Brick
TConstruct:decoration.multibrick:13, Obsidian Brick
TConstruct:decoration.multibrickfancy:0, Fancy Obsidian Brick
TConstruct:decoration.multibrickfancy:1, Fancy Sandstone Brick
TConstruct:decoration.multibrickfancy:2, Fancy Netherrack Brick
TConstruct:decoration.multibrickfancy:3, Fancy Polished Stone Brick
TConstruct:decoration.multibrickfancy:4, Fancy Iron Brick
TConstruct:decoration.multibrickfancy:5, Fancy Gold Brick
TConstruct:decoration.multibrickfancy:6, Fancy Lapis Brick
TConstruct:decoration.multibrickfancy:7, Fancy Diamond Brick
TConstruct:decoration.multibrickfancy:8, Fancy Redstone Brick
TConstruct:decoration.multibrickfancy:9, Fancy Bone Brick
TConstruct:decoration.multibrickfancy:10, Fancy Slime Brick
TConstruct:decoration.multibrickfancy:11, Fancy Slime Brick
TConstruct:decoration.multibrickfancy:12, Fancy Endstone Brick
TConstruct:decoration.multibrickfancy:13, Fancy Obsidian Brick
TConstruct:decoration.multibrickfancy:14, Fancy Stone Brick
TConstruct:decoration.multibrickfancy:15, Stone Road
TConstruct:decoration.multibrickmetal:0, Alumite Brick
TConstruct:decoration.multibrickmetal:1, Ardite Brick
TConstruct:decoration.multibrickmetal:2, Cobalt Brick
TConstruct:decoration.multibrickmetal:3, Manyullyn Brick
TConstruct:decoration.multibrickmetal:4, Fancy Alumite Brick
TConstruct:decoration.multibrickmetal:5, Fancy Ardite Brick
TConstruct:decoration.multibrickmetal:6, Fancy Cobalt Brick
TConstruct:decoration.multibrickmetal:7, Fancy Manyullyn Brick
TConstruct:ore.berries.one:8, Iron Oreberry Bush
TConstruct:ore.berries.one:9, Gold Oreberry Bush
TConstruct:ore.berries.one:10, Copper Oreberry Bush
TConstruct:ore.berries.one:11, Tin Oreberry Bush
TConstruct:ore.berries.two:8, Aluminum Oreberry Bush
TConstruct:ore.berries.two:9, Essence Berry Bush
TConstruct:SearedBrick:1, Cobalt Ore
TConstruct:SearedBrick:2, Ardite Ore
TConstruct:SearedBrick:3, Copper Ore
TConstruct:SearedBrick:4, Tin Ore
TConstruct:SearedBrick:5, Aluminum Ore
TConstruct:GravelOre:0, Iron Gravel Ore
TConstruct:GravelOre:1, Gold Gravel Ore
TConstruct:GravelOre:2, Copper Gravel Ore
TConstruct:GravelOre:3, Tin Gravel Ore
TConstruct:GravelOre:4, Aluminum Gravel Ore
TConstruct:GravelOre:5, Cobalt Gravel Ore
TConstruct:rail.wood, Wooden Rail
TConstruct:MetalBlock:0, Block of Cobalt
TConstruct:MetalBlock:1, Block of Ardite
TConstruct:MetalBlock:2, Block of Manyullyn
TConstruct:MetalBlock:3, Block of Copper
TConstruct:MetalBlock:4, Block of Bronze
TConstruct:MetalBlock:5, Block of Tin
TConstruct:MetalBlock:6, Block of Aluminum
TConstruct:MetalBlock:7, Block of Aluminum Brass
TConstruct:MetalBlock:8, Block of Alumite
TConstruct:MetalBlock:9, Block of Steel
TConstruct:MetalBlock:10, Block of Solid Ender
TConstruct:ToolStationBlock:0, Tool Station
TConstruct:ToolStationBlock:1, Part Builder
TConstruct:ToolStationBlock:2, Part Builder
TConstruct:ToolStationBlock:3, Part Builder
TConstruct:ToolStationBlock:4, Part Builder
TConstruct:ToolStationBlock:5, Pattern Chest
TConstruct:ToolStationBlock:10, Stencil Table
TConstruct:ToolStationBlock:11, Stencil Table
TConstruct:ToolStationBlock:12, Stencil Table
TConstruct:ToolStationBlock:13, Stencil Table
TConstruct:ToolForgeBlock:0, Tool Forge
TConstruct:ToolForgeBlock:1, Tool Forge
TConstruct:ToolForgeBlock:2, Tool Forge
TConstruct:ToolForgeBlock:3, Tool Forge
TConstruct:ToolForgeBlock:4, Tool Forge
TConstruct:ToolForgeBlock:5, Tool Forge
TConstruct:ToolForgeBlock:6, Tool Forge
TConstruct:ToolForgeBlock:7, Tool Forge
TConstruct:ToolForgeBlock:8, Tool Forge
TConstruct:ToolForgeBlock:9, Tool Forge
TConstruct:ToolForgeBlock:10, Tool Forge
TConstruct:ToolForgeBlock:11, Tool Forge
TConstruct:ToolForgeBlock:12, Tool Forge
TConstruct:ToolForgeBlock:13, Tool Forge
TConstruct:CraftingStation, Crafting Station
TConstruct:CraftingSlab:0, Crafting Station
TConstruct:CraftingSlab:1, Tool Station
TConstruct:CraftingSlab:2, Part Builder
TConstruct:CraftingSlab:3, Stencil Table
TConstruct:CraftingSlab:4, Pattern Chest
TConstruct:CraftingSlab:5, Tool Forge
TConstruct:FurnaceSlab, Slab Furnace
TConstruct:HeldItemBlock, Frying Pan
TConstruct:BattleSignBlock, tile.Battlesign.name
TConstruct:CraftedSoil:0, Slimy Mud
TConstruct:CraftedSoil:1, Grout
TConstruct:CraftedSoil:2, Slimy Mud
TConstruct:CraftedSoil:3, Graveyard Soil
TConstruct:CraftedSoil:4, Consecrated Soil
TConstruct:CraftedSoil:5, Blue Slimedirt
TConstruct:CraftedSoil:6, Slime Soil
TConstruct:fluid.molten.iron, Molten Iron
TConstruct:fluid.molten.gold, Molten Gold
TConstruct:fluid.molten.copper, Molten Copper
TConstruct:fluid.molten.tin, Liquid Tin
TConstruct:fluid.molten.aluminum, Molten Aluminum
TConstruct:fluid.molten.cobalt, Molten Cobalt
TConstruct:fluid.molten.ardite, Molten Ardite
TConstruct:fluid.molten.bronze, Molten Bronze
TConstruct:fluid.molten.alubrass, Molten Aluminum Brass
TConstruct:fluid.molten.manyullyn, Molten Manyullyn
TConstruct:fluid.molten.alumite, Molten Alumite
TConstruct:fluid.molten.obsidian, Molten Obsidian
TConstruct:fluid.molten.steel, Molten Steel
TConstruct:fluid.molten.glass, Molten Glass
TConstruct:molten.stone, Seared Stone
TConstruct:molten.emerald, Liquified Emerald
TConstruct:fluid.molten.nickel, Molten Nickel
TConstruct:fluid.molten.lead, Molten Lead
TConstruct:fluid.molten.silver, Molten Silver
TConstruct:fluid.molten.shiny, Molten Shiny
TConstruct:fluid.molten.invar, Molten Invar
TConstruct:fluid.molten.electrum, Molten Electrum
TConstruct:fluid.ender, Liquified Ender
TConstruct:fluid.molten.lumium, Molten Lumium
TConstruct:fluid.molten.signalum, Molten Signalum
TConstruct:fluid.molten.mithril, Molten Mana Infused Metal
TConstruct:fluid.molten.enderium, Molten Enderium
TConstruct:liquid.blood, Blood
TConstruct:liquid.glue, Glue
TConstruct:fluid.molten.pigiron, Molten Pig Iron
TConstruct:SearedSlab:0, Seared Brick Slab
TConstruct:SearedSlab:1, Seared Stone Slab
TConstruct:SearedSlab:2, Seared Cobblestone Slab
TConstruct:SearedSlab:3, Seared Paver Slab
TConstruct:SearedSlab:4, Seared Road Slab
TConstruct:SearedSlab:5, Fancy Seared Slab
TConstruct:SearedSlab:6, Chiseled Seared Slab
TConstruct:SearedSlab:7, Chiseled Seared Slab
TConstruct:SpeedSlab:0, Rough Brownstone Slab
TConstruct:SpeedSlab:1, Brownstone Road Slab
TConstruct:SpeedSlab:2, Brownstone Slab
TConstruct:SpeedSlab:3, Brownstone Brick Slab
TConstruct:SpeedSlab:4, Brownstone Road Slab
TConstruct:SpeedSlab:5, Fancy Brownstone Slab
TConstruct:SpeedSlab:6, Chiseled Brownstone Slab
TConstruct:GlueBlock, Glue Block
TConstruct:Smeltery:0, Smeltery Controller
TConstruct:Smeltery:1, Smeltery Drain
TConstruct:Smeltery:2, Seared Bricks
TConstruct:Smeltery:4, Seared Stone
TConstruct:Smeltery:5, Seared Cobblestone
TConstruct:Smeltery:6, Seared Paver
TConstruct:Smeltery:7, Cracked Seared Bricks
TConstruct:Smeltery:8, Seared Road
TConstruct:Smeltery:9, Fancy Seared Bricks
TConstruct:Smeltery:10, Chiseled Seared Bricks
TConstruct:Smeltery:11, Chiseled Seared Bricks
TConstruct:SmelteryNether:0, Smeltery Controller
TConstruct:SmelteryNether:1, Smeltery Drain
TConstruct:SmelteryNether:2, Seared Bricks
TConstruct:SmelteryNether:4, Seared Stone
TConstruct:SmelteryNether:5, Seared Cobblestone
TConstruct:SmelteryNether:6, Seared Paver
TConstruct:SmelteryNether:7, Cracked Seared Bricks
TConstruct:SmelteryNether:8, Seared Road
TConstruct:SmelteryNether:9, Fancy Seared Bricks
TConstruct:SmelteryNether:10, Chiseled Seared Bricks
TConstruct:SmelteryNether:11, Chiseled Seared Bricks
TConstruct:LavaTank:0, Seared Tank
TConstruct:LavaTank:1, Seared Glass
TConstruct:LavaTank:2, Seared Window
TConstruct:LavaTankNether:0, Seared Tank
TConstruct:LavaTankNether:1, Seared Glass
TConstruct:LavaTankNether:2, Seared Window
TConstruct:SearedBlock:0, Casting Table
TConstruct:SearedBlock:1, Seared Faucet
TConstruct:SearedBlock:2, Casting Basin
TConstruct:SearedBlockNether:0, Casting Table
TConstruct:SearedBlockNether:1, Seared Faucet
TConstruct:SearedBlockNether:2, Casting Basin
TConstruct:CastingChannel:0, Casting Channel
TConstruct:SpeedBlock:0, Rough Brownstone
TConstruct:SpeedBlock:1, Brownstone Road
TConstruct:SpeedBlock:2, Brownstone
TConstruct:SpeedBlock:3, Brownstone Brick
TConstruct:SpeedBlock:4, Brownstone Road
TConstruct:SpeedBlock:5, Fancy Brownstone
TConstruct:SpeedBlock:6, Chiseled Brownstone
minecraft:record_13, Music Disc
minecraft:record_cat, Music Disc
minecraft:record_blocks, Music Disc
minecraft:record_chirp, Music Disc
minecraft:record_far, Music Disc
minecraft:record_mall, Music Disc
minecraft:record_mellohi, Music Disc
minecraft:record_stal, Music Disc
minecraft:record_strad, Music Disc
minecraft:record_ward, Music Disc
minecraft:record_11, Music Disc
minecraft:record_wait, Music Disc
TConstruct:GlassBlock:0, Clear Glass
TConstruct:GlassPane:0, Clear Glass Pane
TConstruct:GlassBlock.StainedClear:0, White Stained Glass
TConstruct:GlassBlock.StainedClear:1, Orange Stained Glass
TConstruct:GlassBlock.StainedClear:2, Magenta Stained Glass
TConstruct:GlassBlock.StainedClear:3, Light Blue Stained Glass
TConstruct:GlassBlock.StainedClear:4, Yellow Stained Glass
TConstruct:GlassBlock.StainedClear:5, Lime Stained Glass
TConstruct:GlassBlock.StainedClear:6, Pink Stained Glass
TConstruct:GlassBlock.StainedClear:7, Gray Stained Glass
TConstruct:GlassBlock.StainedClear:8, Light Gray Stained Glass
TConstruct:GlassBlock.StainedClear:9, Cyan Stained Glass
TConstruct:GlassBlock.StainedClear:10, Purple Stained Glass
TConstruct:GlassBlock.StainedClear:11, Blue Stained Glass
TConstruct:GlassBlock.StainedClear:12, Brown Stained Glass
TConstruct:GlassBlock.StainedClear:13, Green Stained Glass
TConstruct:GlassBlock.StainedClear:14, Red Stained Glass
TConstruct:GlassBlock.StainedClear:15, Black Stained Glass
TConstruct:GlassPaneClearStained:0, White Stained Pane
TConstruct:GlassPaneClearStained:1, Orange Stained Pane
TConstruct:GlassPaneClearStained:2, Magenta Stained Pane
TConstruct:GlassPaneClearStained:3, Light Blue Stained Pane
TConstruct:GlassPaneClearStained:4, Yellow Stained Pane
TConstruct:GlassPaneClearStained:5, Lime Stained Pane
TConstruct:GlassPaneClearStained:6, Pink Stained Pane
TConstruct:GlassPaneClearStained:7, Gray Stained Pane
TConstruct:GlassPaneClearStained:8, Light Gray Stained Pane
TConstruct:GlassPaneClearStained:9, Cyan Stained Pane
TConstruct:GlassPaneClearStained:10, Purple Stained Pane
TConstruct:GlassPaneClearStained:11, Blue Stained Pane
TConstruct:GlassPaneClearStained:12, Brown Stained Pane
TConstruct:GlassPaneClearStained:13, Green Stained Pane
TConstruct:GlassPaneClearStained:14, Red Stained Pane
TConstruct:GlassPaneClearStained:15, Black Stained Pane
TConstruct:Redstone.Landmine:0, Landmine
TConstruct:Redstone.Landmine:1, Landmine
TConstruct:Redstone.Landmine:2, Landmine
TConstruct:Redstone.Landmine:3, Landmine
TConstruct:Armor.DryingRack, Drying Rack
NuclearCraft:liquidHeliumBlock, Liquid Helium
NuclearCraft:blockOre:0, Copper Ore
NuclearCraft:blockOre:1, Tin Ore
NuclearCraft:blockOre:2, Lead Ore
NuclearCraft:blockOre:3, Silver Ore
NuclearCraft:blockOre:4, Uranium Ore
NuclearCraft:blockOre:5, Thorium Ore
